hosts_time_as_user_years,hosts_time_as_user_months,hosts_time_as_host_years,hosts_time_as_host_months,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,has_reviews,room_Hotel room,room_Private room,room_Shared room,nbhd_Bourse,nbhd_Buttes-Chaumont,nbhd_Buttes-Montmartre,nbhd_Entrepôt,nbhd_Gobelins,nbhd_Hôtel-de-Ville,nbhd_Louvre,nbhd_Luxembourg,nbhd_Ménilmontant,nbhd_Observatoire,nbhd_Opéra,nbhd_Palais-Bourbon,nbhd_Panthéon,nbhd_Passy,nbhd_Popincourt,nbhd_Reuilly,nbhd_Temple,nbhd_Vaugirard,nbhd_Élysée,amenity_count,has_wifi,has_kitchen,has_ac
12.0,7.0,12.0,6.0,1.0,3.0,1.0,1.0,48.8886761,2.3441402,-0.5,0.0,0.0,-1.0,0.0,-0.5255474452554745,2,2,5,5,2.0,5.0,1.0,2,11,30,-0.28193832599118945,0.3488372093023256,26,4,56,16,255,55335.0,4.97,4.97,4.93,4.97,5.0,4.97,4.83,0.0,1,1,0,0,1.1360544217687072,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.21052631578947367,True,True,False
5.0,1.0,1.0,9.0,1.0,2.0,1.0,1.0,48.88264321235368,2.3169187237922837,-0.5,0.0,0.0,-1.0,9.333333333333334,0.0,30,30,365,365,30.0,365.0,1.0,0,0,0,-0.6872246696035242,-0.3023255813953488,1,0,0,0,60,4375.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,2,2,0,0,-0.3061224489795918,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.3157894736842106,True,True,False
12.0,0.0,11.0,7.0,1.0,1.0,1.0,1.0,48.87765,2.36192,2.0,0.0,3.0,2.0,-0.3333333333333333,-0.48905109489051096,1,2,30,30,1.0,30.0,1.0,5,23,25,-0.0881057268722467,4.186046511627907,14,0,44,17,146,54166.0,4.89,4.92,4.88,4.95,4.96,4.72,4.71,0.0,1,1,0,0,0.5170068027210883,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9473684210526315,True,True,False
2.0,9.0,2.0,6.0,1.0,1.0,1.0,1.0,48.8550321452643,2.3417436212891465,-0.5,0.0,0.0,-1.0,-0.3333333333333333,-0.48905109489051096,1,2,30,30,2.0,30.0,1.0,23,53,83,0.6607929515418502,0.11627906976744186,10,0,183,15,104,31451.0,5.0,5.0,4.79,4.95,5.0,5.0,4.79,0.0,1,1,0,0,0.26530612244897955,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1.0,True,True,False
0.0,11.0,0.0,10.0,1.0,3.0,1.0,1.0,48.85715829999999,2.327471,-0.5,0.0,0.0,-1.0,9.333333333333334,0.0,30,30,365,365,30.0,365.0,1.0,0,24,54,0.28634361233480177,-0.32558139534883723,0,0,98,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,0,-0.4285714285714285,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-0.7894736842105263,True,True,False
8.0,7.0,1.0,10.0,0.0,161.0,1.0,1.0,48.86665,2.35194,0.5,0.0,0.0,0.0,-0.3333333333333333,1.1094890510948905,1,3,1,1125,2.0,376.3,1.0,29,59,89,0.7092511013215859,0.4883720930232558,11,0,197,30,114,62130.0,4.54,4.6,4.6,4.8,4.77,4.8,4.4,0.0,144,144,0,0,0.7414965986394556,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.2631578947368421,True,True,False
3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,48.85413,2.3798,-0.5,0.0,0.0,-1.0,0.0,0.0,2,2,365,365,2.0,365.0,1.0,6,18,18,-0.8149779735682819,-0.27906976744186046,2,1,18,0,21,2342.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,0.0,1,1,0,0,0.7346938775510203,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.05263157894736842,True,True,False
0.0,10.0,0.0,10.0,1.0,5.0,1.0,1.0,48.85968500000001,2.3458543,1.5,1.0,1.0,1.0,0.0,1.1094890510948905,2,3,1125,1125,2.3,1125.0,1.0,21,44,74,0.6079295154185022,0.06976744186046512,17,2,164,8,177,229038.0,4.88,4.88,5.0,4.94,4.76,5.0,4.88,0.0,5,5,0,0,0.6258503401360543,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.8947368421052632,True,True,True
2.0,7.0,2.0,6.0,0.0,36.0,1.0,1.0,48.85665835617444,2.2984702304773035,1.5,1.0,2.0,1.0,0.3333333333333333,1.1094890510948905,3,4,1125,1125,3.8,1125.0,1.0,10,32,62,0.5903083700440529,0.5348837209302325,26,0,168,27,255,154530.0,4.24,4.59,4.38,4.46,4.65,4.95,4.22,0.0,33,33,0,0,0.9727891156462585,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-0.3157894736842105,True,True,False
4.0,6.0,2.0,0.0,1.0,5.0,1.0,1.0,48.8688055,2.3496936,-0.5,0.0,0.0,-1.0,9.333333333333334,1.1094890510948905,30,30,1125,1125,30.0,1125.0,1.0,0,1,1,-0.2599118942731278,-0.16279069767441862,3,0,30,5,180,12299.0,5.0,5.0,5.0,5.0,5.0,5.0,4.86,0.0,3,3,0,0,-0.14285714285714285,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6842105263157895,True,True,True
