model,r2,rmse_log,mae_log,mae_euros,rmse_euros
Random Forest (Baseline),0.8501704507474737,0.29497083433805754,0.19587074561188406,57.374208409740994,121.18636818471762
Random Forest (Tuned),0.8683328231166569,0.27651525897803875,0.17707003322117598,53.060539254732895,116.93657986510655
